id,name,sequence
main_category_001,主题集合店,1
main_category_002,烧烤,2
main_category_003,饮品烘焙,3
main_category_004,休闲娱乐,4
main_category_005,百货,5
main_category_006,儿童,6
main_category_007,洋快餐,7
main_category_008,锅类,8
main_category_009,中餐,9
main_category_010,自助餐,10
main_category_011,生活服务,11
main_category_012,异国餐饮,12
main_category_013,影城,13
main_category_014,鞋品箱包,14
main_category_015,家居家用,15
main_category_016,个人护理,16
main_category_017,儿童零售,17
main_category_018,男装,18
main_category_019,杂品配饰,19
main_category_020,时尚潮流,20
main_category_021,超市,21
main_category_022,专业美护,22
main_category_023,运动,23
main_category_024,简餐,24
main_category_025,家电,25
main_category_026,女装,26
main_category_027,医疗保健,27
main_category_028,文化娱乐,28
main_category_029,数码电子,29
main_category_030,运动集合,30
main_category_031,儿童教育,31
main_category_032,主题餐厅,32
main_category_033,黄金珠宝,33
main_category_034,大酒楼,34
main_category_035,儿童娱乐,35
main_category_036,儿童服务,36
main_category_037,男女集合,37
main_category_038,教育培训,38
main_category_039,钟表,39
main_category_040,烟酒食品,40
main_category_041,美食广场,41
